sample_index,stamp,residual_x_m,residual_y_m,residual_z_m,residual_roll_rad,residual_pitch_rad,residual_yaw_rad,translation_residual_m,rotation_residual_deg,arm_before_dt_s,arm_after_dt_s,arm_alpha,head_id2_reprojection_error_px,head_id2_distance_m,head_id2_view_angle_deg
77,1779190820.390396833,0.00135746543,0.0047370506,-0.00112987155,0.0082859855,0.000531265109,0.00967945932,0.00505558805,0.730676727,0.0155720711,0.017780304,0.466895418,0.0366191403,0.61615118,7.28099931
78,1779190820.523832321,0.000898817063,0.00235036759,7.14819426e-05,0.00347274641,-0.0220216387,0.00537283069,0.0025173815,1.31391084,0.0489499569,0.0177547932,0.733830152,0.184491438,0.615388436,7.64079627
79,1779190820.690625906,0.00060640826,-0.000564390211,-0.00276182859,0.000376955314,-0.0115830771,-0.00526660234,0.00288339461,0.729361702,0.048981905,0.0177228451,0.7343091,0.213610656,0.614386013,7.17473522
80,1779190821.057569742,0.00162175329,0.00219587092,0.00132525207,0.0055922895,-0.00950840394,0.00402688494,0.00303450587,0.672827268,0.0157010555,0.0176506042,0.470772838,0.268958575,0.622815487,5.86728008
81,1779190821.257718086,0.00290854892,-8.00734974e-05,0.00453837324,-0.00631447221,0.0122437433,-0.00352597253,0.00539100178,0.814757856,0.0157353878,0.017619133,0.471761771,0.172725783,0.629515917,4.54194844
82,1779190821.658111811,0.0031442632,0.00276310232,0.00416357598,-0.00207916021,-0.0136615618,0.00618645192,0.00590393855,0.867484149,0.0158770084,0.0174772739,0.476011094,0.0372048361,0.634901786,6.41668262
83,1779190821.691478968,0.00309876054,0.00145641759,0.00383282011,0.000187527237,-0.0128882362,0.000336024031,0.00513945319,0.738770616,0.015889883,0.0174643993,0.476397089,0.0387664334,0.635195357,6.40051258
84,1779190821.758213520,0.00254885825,-0.000226221279,0.00169518282,0.019785208,0.00165310368,-0.00728441833,0.00306944608,1.21170747,0.0159158707,0.0174384117,0.477176228,0.161159242,0.635020095,5.29006013
85,1779190823.359222889,0.0027171754,-0.000638340343,0.0056937889,0.017505521,-0.00231243627,-0.00512991157,0.00634111604,1.05353621,0.0157842636,0.0175790787,0.473101989,0.546348564,0.653859511,10.6916213
86,1779190827.095101833,0.00243229977,8.59828218e-05,0.0103828639,0.0179263964,0.00499072689,0.00173498558,0.0106643021,1.07079239,0.0159173012,0.0174326897,0.477280526,0.315371434,0.667593745,19.712006
87,1779190827.228488207,0.00222035404,-0.00109539341,0.0101925886,0.00730421045,0.0015100925,-0.00408473125,0.010488981,0.487239546,0.0159034729,0.0174474716,0.476852249,0.246767997,0.666151504,20.6562242
88,1779190828.895822048,0.00490387833,0.00276498093,0.00315090373,-0.00798806707,0.0191005932,0.0147983163,0.00645146004,1.45809827,0.0490000248,0.0177075863,0.734549237,0.213563564,0.647572046,17.6149492
89,1779190830.997651339,0.00488212143,0.00368061142,0.0010196802,-0.0388393824,0.00697140328,0.0226018279,0.00619852868,2.60550358,0.0494697094,0.0172479153,0.741478877,0.207747283,0.664515966,19.7430835
90,1779190832.064909697,0.00140668764,-0.00210642952,0.00533313306,-0.0236563246,0.0214829935,0.00553191765,0.00590407687,1.85813562,0.015280962,0.0181055069,0.457699257,0.0947640139,0.687935889,23.3703796
91,1779190833.834719896,0.00485024878,0.000764631269,0.00676569733,0.00842972222,-0.0113487388,0.00508313703,0.0083596791,0.860758007,0.0172147751,0.0494885445,0.258079736,0.0369087572,0.752361294,42.8572559
92,1779190834.068138123,0.00457783737,-0.000663743936,0.00774120197,0.00518243385,-0.00625778377,0.0143051948,0.00901794649,0.942608873,0.0171723366,0.0161790848,0.514890697,0.247516629,0.756833651,44.339349
93,1779190834.301552773,0.00364666865,-1.77811798e-05,0.00585812628,-0.008596446,-0.00637692985,0.00878897069,0.00690044578,0.793520947,0.0171201229,0.0162365437,0.513244418,0.281776439,0.756605146,45.9207821
94,1779190834.635056973,0.00308242725,0.000651539384,0.00627649871,0.006447095,-0.00562890464,0.00936547641,0.00702284112,0.726915576,0.0170574188,0.0162992477,0.511364611,0.158265025,0.760895988,45.513376
95,1779190835.035253525,0.00399459315,7.23953357e-05,0.00626225783,0.0031742531,-0.000128099352,0.00993816576,0.00742818206,0.597799658,0.016972065,0.01638484,0.50880215,0.134629035,0.751788256,42.9997006
96,1779190835.068602800,0.00357853937,0.00162092469,0.000649428264,-0.0177257299,0.00329341214,0.0153159955,0.00398184605,1.35541493,0.0169644356,0.0163924694,0.50857343,0.271460855,0.746871959,43.4472244
97,1779190835.302047014,0.0033353205,0.00454502562,0.00428220826,-0.00592474032,-0.00358159105,0.0226668359,0.00707947232,1.35794115,0.0169167519,0.0164351463,0.507220062,0.106294928,0.732430083,40.9956979
98,1779190836.302461147,0.00511638355,0.00213084665,0.00533563585,0.00120257951,0.00451993498,0.0107271583,0.00769330215,0.67050246,0.016767025,0.0499806404,0.251200171,0.14951371,0.704067204,29.7966358
99,1779190836.435883284,0.00448907762,0.00226975904,0.00665221335,0.00226632123,0.0012929861,0.0154441971,0.00833999798,0.897426865,0.0166931152,0.0166811943,0.500178594,0.24053993,0.696807564,28.2859271
100,1779190836.569305658,0.00394559202,0.00210134956,0.00239337667,-0.00557557985,-0.00138964813,0.00778784955,0.00507066251,0.554523737,0.0499923229,0.016756773,0.748958802,0.305294362,0.684111219,25.8724766
101,1779190836.702728271,0.00467060179,0.00874808897,-0.00113076452,0.00900618602,-0.00190716383,0.0195431912,0.00998109263,1.23775459,0.0165412426,0.0168337822,0.495617388,0.232015655,0.673546653,22.8507031
102,1779190836.736083984,0.0043457334,0.00765634716,0.00341360055,0.006418739,-0.00896337536,0.0197715476,0.00944233654,1.2970332,0.0165219307,0.0168530941,0.495038754,0.237172376,0.673756557,22.6701009
